Toll Plaza Name,Latitude,Longitude
Chittampatti,10.1491079,78.9178956
Etturvattam,9.3936188,77.9116333
H Pudhupatti,12.398710062623406,78.45643565564143
Kallakudi,11.0309368,79.1267323
Kaniyur,11.0946073,77.1553216
Kappalur,9.8449022,78.0096467
Keezhkuppam,12.3035363,78.3189231
Kothattai,10.80255,79.20327
Krishnagiri,12.51520745,78.00937692782514
Lembalakudi,10.2992758,78.746717
Manavasi,10.9324897,78.2213486
Mathur,13.1678641,80.2436918
Mettupatti,10.2653629,77.8748488
Morattandi,11.9793334,79.7873004
Nallur,9.6734908,80.0290277
Nanguneri,8.4892568,77.6596709
Nemili (Sriperumbudur),12.998392190004404,79.95566636341222
Omallur,9.263983476587464,76.71225512403011
Palaya Gandharvakottai,10.59790445,79.02287071112931
Palayam (Dharmapuri),12.0873106,78.5718906
Pallikonda,18.6689858,78.4818797
Pudur,11.1739829,77.7211702
Pudur,11.1739829,77.7211702
S V Puram,10.572158,77.2657525
Salaipudhur,11.0594418,77.8857708
Samayapuram,10.9203885,78.7410027
Surapattu (Chennai Bypass II),13.141025554883738,80.19300581154057
Thirumandurai,11.0355167,79.4825796
Thiruppachethi,9.7767661,78.3426897
Thuvakudi,10.7471515,78.821414
Vanagaram (Chennai Bypass),13.053231035694136,80.15447114850322
Vaniyambadi,12.6787174,78.6199879
Velanchettiyur,10.7053073,77.9337446
Vennathur,9.5266698,78.8950292
Vikravandi(Villupuram),11.958256200000001,79.48762785
Bhiknoor,18.1678992,78.0435026
Chinthapally,16.8009155,78.8203275
Dharmaram,17.9584619,79.6546532
Dilawarpur,20.8206693,78.0423403971188
Gowraram,18.2085872,80.091083
Gummadidala,17.682291,78.3672225
Indalwai,18.5398468,78.2246619
Jawahar Nagar,17.5100445,78.5590092
Kadthal,16.9847566,78.4997445
Komalla,17.7812235,79.3009351
Komatipalli,18.6013121,83.3957398
Konetipuram,16.0687641,80.7855821
Kothagudem,17.5512916,80.6144535
Manoharabad,17.7666102,78.4667423
Munnanur,16.3596536,78.1175136
Muthojipet,17.9587559,79.9129086
Rolmamda,19.2773728,78.4193269
Singarajupally,17.593738,79.269355
Ahamadpur,22.7102974,80.30932305414045
Aihar,43.1964478,-1.3701906
Aindhi,26.3558002,80.8588761
Ait,47.5625169,19.05484850964934
Amdi,-5.9121495,144.8470766
Andhiyari,22.843942650000002,79.44094342158556
Babina,37.280377,40.5358215
Badagawn,23.3494883,75.3887282
Badauri,23.3879156,81.60215409793827
Baleni,45.8076399,27.8479462
Bara,48.4255768,21.7170417
