Toll Plaza Name,Latitude,Longitude
Nandgaon Peth,21.021655,77.82386269999999
Nardana (MoRTH),21.1879926,74.82585619999999
Nashik Sinnar Tollways Ltd,19.9117027,73.9031799
Nashirabad,21.0017391,75.6582067
Nashirabad (MoRTH),21.0017391,75.6582067
Padalshingi,19.1529474,75.75567099999999
Pargaon,18.5600735,74.3733092
Penur Toll Palza,17.7783555,75.5242315
Phulwadi,22.3428781,73.16483149999999
Pimparwadi Toll Plaza,19.8110534,74.2756899
Sardewadi / Indapur,18.09837,75.06513799999999
Sawaleshwar,17.7521162,75.7605901
Selu Ambu,30.5178932,-90.4710715
Selu Toll Plaza,18.6760359,76.39191009999999
Shirpur,21.3495981,74.8797127
Songir,21.0815474,74.78929509999999
Subgavhan Kh,20.8687015,74.9734805
Talmod,17.8275783,76.7516874
Tamalwadi,17.8413326,75.96301559999999
Taroda Kasba Toll Plaza,20.6659744,76.7200921
Tasawade,17.371022,74.1328046
Tidagundi,16.9791417,75.754592
Tiwasa (MoRTH),20.3550992,77.98314409999999
Undewadi (Supe) Toll Palza,18.9330714,74.49294979999999
Undri Toll Plaza,20.4375134,76.45789409999999
Vaidyakinhi Toll Plaza,18.7898486,75.5784702
Valsang Toll Plaza,17.5898796,76.0745723
Varwade,20.1743203,72.8929
Wadgaon ( Umred ),20.8474101,79.32469309999999
Yedeshi,18.3192781,75.96446449999999
Deingpasoh,25.593873,92.04324009999999
Lomshinong,25.1693522,92.3936157
Pahammawlein,25.9932796,91.86049109999999
Pasyih,25.4807624,92.2888961
Badeibadkudar,21.5057669,85.05814389999999
Balibhasa,22.2455351,87.1048702
Banajodi (Padmapur),21.7177575,85.5843632
Bandalo (Old Manguli) Toll Plaza,20.565808,86.01097990000001
Baragarh (Barhaguda),21.3548765,83.6765272
Bhagada Narayanpur Toll,20.9437602,86.3262831
Bolangir Toll Plaza,20.7407941,83.63107959999999
Darjing,21.9313504,84.89457089999999
Govindpur ( Brajarajnagar ),21.8284575,83.91759259999999
Gudipada (Old Gangapada),20.2035223,85.66861089999999
Gurapalli,19.6187071,85.11422069999999
Hasanpur (Sainkul),21.1169327,86.13574229999999
Jansanpur,21.4483189,85.3733809
Jhamudihi Toll Plaza,21.9837772,85.1038426
Jharpokhria Toll,22.1803875,86.6473133
Kadaligarh Toll PLaza,20.9594534,84.3136549
Kandra,22.8481542,86.0504111
Khamar,21.2639614,85.1967556
Khantaghar (Dhenkikote),21.5085424,85.82606679999999
Khereitangiri,21.7118616,85.69997889999999
Nunmath Toll Plaza,20.2829389,83.29609719999999
Paat Sahanipur (Pipli),26.0617631,80.83639989999999
Padmanavpur,20.5618513,85.595862
Panikholi,20.9121939,86.2285536
Pudapada Nildungri Toll Plaza,21.4538426,84.1105259
Rangamatia Toll Plaza,20.3659625,84.7937031
Sergarh,20.1704483,83.4510164
Srirampur,22.7505213,88.3405772
Sukhuapada,21.3784617,86.32482139999999
Abul Khurana Toll Plaza,30.1395861,74.5375693
Azizpur,30.5906722,76.75313009999999
Bachhuan,25.97703,85.38853329999999
Badbar,30.25299639999999,75.66444729999999
Balluana,30.22362129999999,74.78198189999999
Behram,39.492572,26.334422
Bhagupur Toll Plaza,31.2499858,74.82757939999999
Chak Bamniya,31.0174349,75.29991849999999
Chandimandir,30.7285106,76.8922729
Chhotian,29.8295964,75.7853195
Chiddan,31.6339875,74.6927354
Chollang,31.6249853,75.64022039999999
Dappar,30.5209905,76.81406930000001
Darapur Toll Plaza,30.8401266,74.9772849
Dhareri jattan,30.3946857,76.4989603
Dhilwan,31.509998,75.3353875
Ferozeshah,30.8776206,74.78929509999999
Gurhe  (Chowkiman ),30.83312669999999,75.57570199999999
Harsa Mansar,32.0584137,75.612807
Kala Tibba,30.889968,74.5064108
Kalajhar,30.2708322,76.15083849999999
Karahewala,31.0513835,75.06195389999999
Khuian Malkan,33.0210325,72.0557049
Kot Karor,30.8200677,74.91795429999999
Ladhowal,30.9784526,75.7938309
Ladpalwan,32.1940552,75.54222680000001
Lehrabega Toll Plaza,30.2330182,75.1019522
Mallian Toll Plaza,30.4465307,75.43006129999999
Milk Majra,30.2115335,77.19433049999999
Nijjarpura,31.570901,74.9946631
Paind,29.8972663,76.0921261
Usma,41.3889095,-73.95710729999999
Waryam Nangal,31.7498134,75.0289877
Zidda,21.5291545,39.1610863
Akhepura,27.0295939,75.82288989999999
Aroli,11.9845571,75.38093599999999
Badighati,26.5338703,74.505312
Bagaliya,23.4421304,86.5274419
Baggad,22.7029003,75.44029929999999
Bahala Toll Plaza,27.5273666,76.717188
Banthadi,27.2740862,74.3528822
Barkheda (Chandlai),26.6864136,75.8780855
Barsalpur,28.1860531,72.2454448
Beer Mandi,24.6614671,76.0232338
Bhandaraj Fee Plaza,21.1600173,77.2063436
Binawas,26.280702,73.3738169
Birami,26.1582006,73.2352525
Biratiya Kalan,26.1071115,74.0847673
Bor Charnan,25.1275788,71.5664607
Bungri,31.1278136,76.3362312
Butati (Kuchera),26.8980929,73.9844722
Chila Chond,26.6129885,77.5154422
Dakan Kotra,24.4790568,73.7419017
Dangiyawas,26.265717,73.28390739999999
Daulatpura,27.0824783,75.8306435
Deogarh,21.5383136,84.7289442
Deshnok,27.7967826,73.34383849999999
Dhadhar,24.75024565457808,85.3547730153172
Dhulepura,27.5610626,75.5829782
Dungarpur Fee Plaza,23.8518813,73.72043049999999
Fatehpur,25.9209503,80.7996035
Gajangarh Toll Plaza,25.8356689,73.2234557
Gangajali,28.4539948,72.6032895
Gegal,26.5549877,74.7662575
Gogunda (Jaswantgarh),24.755264,73.52847369999999
Gumanpura,25.170401,75.84703309999999
Harimma,27.2626529,73.859549
Hathitala,25.5559454,71.4358733
Hindor Toll Plaza,29.1012213,73.853973
Hingonia,27.0325113,75.46214669999999
Indranagar,12.9783692,77.6408356
Jaitpur (Jaipur),26.9124336,75.7872709
Jasnathnagar,26.7738202,72.8590653
Jaswantpura,24.8019253,72.4598398
Kadisahena,25.6536557,74.99064589999999
Kair Fakir ki Dhani,26.6252397,71.2033907
Karel toll plaza,24.2127734,73.3524169
Khachrol,25.22741,75.06604089999999
Khandi Obari,23.9936144,73.6278246
Khedi,23.4564088,77.33674979999999
Kheerwa,27.2901326,72.32075309999999
Khudiyala,26.5219857,72.6875476
Kishangarh (Badgaon),26.5866303,74.8541759
Kishorepura,25.1690162,75.82797459999999
Kondar,35.9318349,10.303487
Korai,40.733914,-74.05914299999999
Lakhasar,28.0986538,73.8696059
Lal Ka Khera,25.4933789,75.3106062
Lambiya Kalan,25.598264,74.5873348
Lasedi,28.7088387,75.4814672
Laxmannagar,21.208301,72.8493324
Lilamba,26.0838927,74.0035709
Ludhawai,27.1802729,77.3984704
Malkisar,28.6696495,73.9065883
Manoharpur,22.3730219,85.19717630000001
Meghawas,26.1445636,72.467236
Methoon,24.3953552,76.49679189999999
Moothli,25.6953154,72.28078959999999
Morani (Pokaran),26.9207919,71.92243549999999
Motisar (Kanori),20.9862759,71.09100339999999
Narayanpura,24.8644793,67.0129493
Narsana,25.1188964,72.04089060000001
Narshinghgarh Toll Plaza,24.5523485,74.6664414
Negadiya,24.6021179,74.20399189999999
Nekawala,27.2365041,76.0594972
Nimbahera Toll Plaza,24.6239992,74.6892525
Nimbali Toll Plaza,26.0185675,73.0888646
Nimbaniya Ki Dhani (Bayatu),25.8970237,71.7665209
Nimbasar,26.1294892,71.2933602
Nimbi Jodha,27.5326783,74.34486489999999
Nokhra,27.6358866,72.6478161
Norangdesar,28.0749248,73.5465786
Ochadi toll plaza,24.825842,74.628798
Paduna,24.2801891,73.67201589999999
Pallai,9.5673228,80.38813329999999
Parwa,20.3836543,78.1795996
Patau,25.9565073,72.391785
Raipur,21.2513844,81.62964130000002
Rajadhok,26.8589972,76.1040524
Rajora Khurd,26.8379008,77.71373059999999
Ramdevra,27.0083843,71.92219899999999
Rashidpura,27.7130087,75.081677
Riasinghnagar(Thakri) and Patroda Toll Plaza,29.5311499,73.447797
Rupa Kheda,23.1680779,73.9976946
Sakatpura(LHS)(Staggered),25.1799636,75.828701
